Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
Bounce Patrol - Kids Songs,27800000,21037851468.0,292,Australia,Music,382300.0,3241150.0,6100000.0
toycantando,27700000,15777682516.0,619,Colombia,Music,521500.0,4410750.0,8300000.0
MrBeast 2,27500000,4552581106.0,27,United States,Music,0.0,0.0,0.0
Wiz Khalifa,27500000,13379395501.0,682,United States,Music,271300.0,2285650.0,4300000.0
JYP Entertainment,27400000,19883150017.0,1753,South Korea,Music,922900.0,7861450.0,14800000.0
ýýý Kids Roma Show,27400000,10336420490.0,642,United States,Entertainment,527500.0,4463750.0,8400000.0
DanTDM,27400000,19417887510.0,3664,United Kingdom,Games,236000.0,2018000.0,3800000.0
Nick Jr.,27300000,22440611155.0,5438,United States,Entertainment,127600.0,1063800.0,2000000.0
Crazy XYZ,27300000,7705492350.0,1259,India,Tech,306700.0,2603350.0,4900000.0
ToyPuddingTV,27100000,15916882228.0,2,Unknown,People,0.04,0.35500000000000004,0.67
Dushyant kukreja,27100000,17318452893.0,889,India,Entertainment,1300000.0,10950000.0,20600000.0
Gulshan Kalra,27100000,12732444881.0,545,Unknown,Howto,1500000.0,12800000.0,24100000.0
Brent Rivera,27000000,6570935979.0,554,United States,Entertainment,433400.0,3666700.0,6900000.0
Renato Garcia YT,26900000,7938616641.0,3956,Brazil,Entertainment,248700.0,2124350.0,4000000.0
Beast Reacts,26700000,4388047013.0,241,United States,Entertainment,828600.0,7064300.0,13300000.0
enchufetv,26700000,10317306313.0,975,Colombia,Comedy,73100.0,636550.0,1200000.0
Netflix,26700000,7173668905.0,6471,United States,Entertainment,354700.0,3027350.0,5700000.0
Raffy Tulfo in Action,26500000,15065753455.0,10022,Philippines,News,489400.0,4144700.0,7800000.0
WORLDSTARHIPHOP,26500000,20358117330.0,6873,United States,Music,267300.0,2283650.0,4300000.0
Goldmines Bollywood,26400000,8595760553.0,3622,India,Film,299000.0,2549500.0,4800000.0
Alan Chikin Chow,26400000,27006526665.0,865,United States,Comedy,3100000.0,26650000.0,50200000.0
PANDA BOI,26400000,17211600007.0,967,Italy,Entertainment,3700000.0,31250000.0,58800000.0
BB Ki Vines,26300000,4749833967.0,190,India,Entertainment,51800.0,440200.0,828600.0
D Billions,26200000,31977463002.0,775,United States,Entertainment,1500000.0,12450000.0,23400000.0
Junya.ï¿½ï¿½ï¿½ï¿½,26200000,16097531087.0,5985,Japan,Entertainment,2200000.0,18400000.0,34600000.0
Smosh,26100000,10435474336.0,1619,United States,Comedy,204500.0,1752250.0,3300000.0
1MILLION Dance Studio,26100000,7886440199.0,0,Saudi Arabia,Music,0.0,0.0,0.0
NichLmao,26000000,14101010609.0,868,Unknown,People,1800000.0,15450000.0,29100000.0
Beyoncï¿,26000000,17308961985.0,240,United States,Music,166400.0,1433200.0,2700000.0
Marï¿½ï¿½ï¿½ï¿½ï¿½,26000000,18597534412.0,1,Unknown,Music,0.01,0.07500000000000001,0.14
Indosiar,25900000,11372071889.0,65286,Indonesia,Entertainment,690500.0,5845250.0,11000000.0
VanossGaming,25800000,15541421838.0,1762,Canada,Games,164800.0,1382400.0,2600000.0
David Guetta,25700000,17793809548.0,749,United States,Music,492600.0,4196300.0,7900000.0
LosPolinesios,25700000,7466926260.0,982,Mexico,People,91500.0,795750.0,1500000.0
Nicki Minaj,25700000,10242981063.0,42,United States,Music,310900.0,2655450.0,5000000.0
Fede Vigevani,25600000,7962725960.0,0,Unknown,,0.0,0.0,0.0
TaylorSwiftVEVO,25600000,25592378292.0,287,United States,Music,955800.0,8127900.0,15300000.0
ZHC,25500000,2726917087.0,5,Unknown,Entertainment,0.06,0.51,0.96
Post Malone,25500000,14401218086.0,78,United States,Music,586500.0,4993250.0,9400000.0
Rans Entertainment,25400000,6430853035.0,3716,Indonesia,Entertainment,175500.0,1487750.0,2800000.0
LankyBox,25400000,34300482066.0,8775,United States,Games,2400000.0,20750000.0,39100000.0
Coldplay,25300000,17331663193.0,398,United Kingdom,Music,596600.0,5048300.0,9500000.0
Las Ratitas,25200000,9602246828.0,4,Unknown,People,0.03,0.28,0.53
WB Kids,25200000,11081602368.0,2025,United States,Film,421000.0,3560500.0,6700000.0
ABPLIVE,25200000,7968363381.0,12,Unknown,People,0.01,0.055,0.1
Chris Brown,25200000,15520569496.0,0,Unknown,,0.0,0.0,0.0
The Lallantop,25200000,10409352249.0,51129,India,News,821800.0,6960900.0,13100000.0
RihannaVEVO,25100000,19458807708.0,118,United States,Music,282700.0,2391350.0,4500000.0
WatchMojo.com,25100000,16357064198.0,24837,Canada,Entertainment,147000.0,1273500.0,2400000.0
TRANS7 OFFICIAL,25000000,14169516119.0,89179,Indonesia,Entertainment,369600.0,3134800.0,5900000.0
Anuel AA,25000000,14827085149.0,147,Colombia,Music,852400.0,7226200.0,13600000.0
Dan Rhodes,24800000,17387583720.0,1644,United Kingdom,Entertainment,995700.0,8447850.0,15900000.0
Yuya,24800000,2588501115.0,672,Mexico,Howto,1000.0,8550.0,16100.0
America's Got Talent,24800000,3699352704.0,1894,United States,Entertainment,403200.0,3451600.0,6500000.0
mujjuu___14,24800000,14655527943.0,872,Unknown,People,1200000.0,10200000.0,19200000.0
EminemVEVO,24700000,20531704527.0,104,United States,Music,418300.0,3559150.0,6700000.0
Chloe Ting,24700000,2994726412.0,412,Australia,Howto,69800.0,584900.0,1100000.0
KatyPerryVEVO,24600000,23755792542.0,175,United States,Music,266800.0,2283400.0,4300000.0
Mark Rober,24600000,3647987299.0,120,United States,Tech,265900.0,2282950.0,4300000.0
1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,23962070944.0,18950,South Korea,Entertainment,316700.0,2708350.0,5100000.0
Like Nastya AE,24400000,12385924995.0,658,United States,Entertainment,509600.0,4354800.0,8200000.0
Amit Bhadana,24300000,2380248899.0,17,Unknown,People,0.02,0.13,0.24
Pen Movies,24300000,6608773195.0,1667,India,Film,284600.0,2442300.0,4600000.0
MrBeast en Espaï¿½ï,24200000,2700914170.0,67,Mexico,Entertainment,100800.0,850400.0,1600000.0
shfa show India,24200000,15724160183.0,469,United Arab Emirates,People,453600.0,3876800.0,7300000.0
Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870.0,36,United States,Education,985500.0,8392750.0,15800000.0
Alejo Igoa,24100000,10999000479.0,802,Argentina,Entertainment,1200000.0,10250000.0,19300000.0
Daniel LaBelle,24100000,12916159065.0,287,Unknown,Comedy,1200000.0,10150000.0,19100000.0
netd mï¿½ï¿,24100000,56106087508.0,23491,Turkey,Music,1300000.0,10850000.0,20400000.0
DJ Snake,24100000,8425505919.0,252,United States,Music,189900.0,1594950.0,3000000.0
Diana and Roma ARA,24100000,11041261296.0,590,United States,Entertainment,200700.0,1700350.0,3200000.0
KSI,24100000,6002166932.0,1252,United Kingdom,Music,16300.0,138700.0,261100.0
Spider Slack,24000000,13943030228.0,901,Brazil,Comedy,2300000.0,19400000.0,36500000.0
Goldmines Movies,24000000,5652938599.0,3,Unknown,People,0.01,0.07500000000000001,0.14
Preston,24000000,8279004442.0,4009,United States,Entertainment,455100.0,3877550.0,7300000.0
James Charles,23900000,4067878931.0,505,United States,Entertainment,174400.0,1487200.0,2800000.0
Collins Key,23900000,6582932625.0,257,United States,Entertainment,32600.0,276750.0,520900.0
Diana and Roma EN,23900000,7213499085.0,511,United States,Entertainment,533300.0,4516650.0,8500000.0
Venus Entertainment,23800000,5663125358.0,70,Unknown,Entertainment,95.0,797.5,1500.0
Troom Troom,23800000,10414479943.0,2425,United States,Howto,294200.0,2497100.0,4700000.0
Enrique Iglesias,23800000,17688774915.0,443,United States,Music,368700.0,3134350.0,5900000.0
Ninja,23700000,2543809954.0,1732,United States,Games,25100.0,213400.0,401700.0
FaZe Rug,23700000,7451792132.0,0,Canada,Games,0.0,0.0,0.0
Mister Max,23700000,15510153803.0,1099,United Kingdom,Entertainment,98400.0,849200.0,1600000.0
That Little Puff,23700000,20289689389.0,769,United States,Animals,2300000.0,19250000.0,36200000.0
NickyJamTV,23600000,15901824841.0,392,Unknown,Music,233800.0,1966900.0,3700000.0
Juan De Dios Pantoja,23600000,2135644776.0,226,Mexico,People,140600.0,1170300.0,2200000.0
Logan Paul,23600000,5994002464.0,719,United States,Entertainment,32400.0,275500.0,518600.0
Maya and Mary,23600000,6766461070.0,552,United States,Entertainment,133600.0,1116800.0,2100000.0
Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200.0,1251,United Kingdom,Film,160800.0,1380400.0,2600000.0
Jelly,23500000,14777034543.0,6066,United Kingdom,Games,125000.0,1062500.0,2000000.0
Miss Katy,23500000,14696994366.0,1044,United Kingdom,Entertainment,178900.0,1539450.0,2900000.0
Tilak,23400000,9465863821.0,6672,India,Film,1100000.0,9350000.0,17600000.0
Valentina Pontes ofc,23400000,7926899136.0,1291,Brazil,Entertainment,84900.0,742450.0,1400000.0
Sesame Street,23300000,22471357411.0,3657,United States,Entertainment,372600.0,3186300.0,6000000.0
Happy Lives,23200000,2634.0,1,United States,Entertainment,0.0,0.0,0.0
Lady Gaga,23200000,15751661213.0,172,United States,Music,429500.0,3664750.0,6900000.0
Akshay Nagwadiya,23200000,7966720147.0,595,Unknown,Entertainment,963500.0,8181750.0,15400000.0
Wave Music Bhojpuri,23100000,12889240875.0,22578,India,Music,158000.0,1329000.0,2500000.0
GMM GRAMMY OFFICIAL,23100000,25579831081.0,15462,Thailand,Music,390700.0,3345350.0,6300000.0
